PK_SIL	Type I
PKX808OGSCC_Pooled	Type I
PureKush_GATCAG	Type I
RedDevil_TAGCTT	Type I
RioNegraMale_GGCTAC	Type I
RollexKush_ATCACG	Type I
RSP10082_TGCAT	Type I
SourTsunami_TAGCTT	Type I
80 E-1 SRR10578259	Type I
CS_1_2016_CSU SRR10578262	Type I
Carmaleonte SRR10578263	Type I
IdaliaFT_1_CSU SRR10578264	Type I
Merino_S_1_CSU SRR10578265	Type I
Harlox SRR10578266	Type I
C3/USO-1_F1_15_CSU SRR10578267	Type I
Fedora17_6_1_CSU SRR10578268	Type I
Carmagnola_3 SRR10578269	Type I
BlueBerry Cheesecake X JL Male SRR10578270	Type I
Jamaican Lion ^4 #6 SRR10578271	Type I
Mexican Sativa MSA SRR14708263	Type I
Haze HAE SRR14708264	Type I
IPK_33_2 SRR20856266	Type I
IPK_33_1 SRR20856267	Type I
Lovrin SRR20856315	Type I
IPK_70_1 SRR20856339	Type I
IPK_69_2 SRR20856340	Type I
IPK_63_1 SRR20856370	Type I
IPK_61_2 SRR20856371	Type I
CanaTsuSCC_GATCAG	Type II
Ringo_ACAGTG	Type II
RSP11074	Type II
Herijuana SRR10578253	Type II
Grape Stomper SRR10578254	Type II
Saint Jack SRR10578255	Type II
Jamaican Lion^3 Mother PCR SRR10578256	Type II
80 E-3 SRR10578257	Type II
80 E-2 SRR10578258	Type II
Tiborszallasi SRR10578260	Type II
Eletta Campana SRR10578261	Type II
Carmagnola_r2 SRR20856320	Type II
Jiangji SRR20856321	Type II
IPK_21_2 SRR20856325	Type II
US_feral_13 SRR20856330	Type II
US_feral_12 SRR20856331	Type II
US_feral_11 SRR20856337	Type II
RSP11349	Type III
SecretOG_CAGATC	Type III
SensiStarXSFMSCC_Pooled	Type III
SnoopDream_GATCAG	Type III
sour_diesel	Type III
JL SRR10019825	Type III
Jamaican Lion Mother SRR10578250	Type III
Sour Tsunami x Cataract Kush SRR10578251	Type III
Master Kush SRR10578252	Type III
finola_prestalk	Hemp
black_lime	Drug-type
cannbio2-stage3	Drug-type
cannbio2-stage2	Drug-type
cannbio2-stage4	Drug-type
lemon_skunk	Drug-type
afghan_kush	Drug-type
ghost_ogxbk	Drug-type
cherry_chem	Drug-type
chocolope	Drug-type
mama_thai	Drug-type
cannbio2-stage1	Drug-type
finola_bulbous	Hemp
finola_stalked	Hemp
black_berry_kush	Drug-type
cbd_skunk_haze	Drug-type
terple	Drug-type
sour_diesel	Drug-type
canna_tsu	Drug-type
chemdawg	Drug-type
white_cookies	Drug-type
tahoe_ogxbk	Drug-type
westside_og	Drug-type
blue_cheese	Drug-type
headband	Drug-type
valley_fire	Drug-type
